DATE,TEAM,NAME,POS,CASE,CATEGORY,DESCRIPTION,OUTCOME,Found
1/31/2015,Arizona,Bobby Massie,OT,Arrested,DUI,"Suspected of drunken driving in Tempe, Ariz., he flunked two sobriety tests and had a blood-alcohol content of 0.14 percent.",Resolution undetermined. NFL suspended three games.,1
1/23/2015,Indianapolis,Andrew Jackson,LB,Arrested,DUI,"Pulled over in Bowling Green, Ky., accused of drunk driving, blood-alcohol content of .088.","Pleaded guilty, 14 days of home confinement, fines and $1,000 in court costs, alcohol treatment program.",1
1/19/2015,Green Bay,Datone Jones,DE,Cited,Drugs,Accused of marijuana possession in Green Bay after police were called to check vehicle playing loud music in parking lot.,"Convicted, $880 fine, one-game suspension.",1
1/14/2015,Indianapolis,Josh McNary,LB,Arrested,"Domestic violence, rape","Accused of rape, battery and criminal confinement of woman who said he attacked her Dec. 1 after night of drinking in Indianapolis.",Acquitted by jury and rejoined the team.,1
1/10/2015,New York Jets,Oday Aboushi,OG,Arrested,Drugs,"Pulled over in Morris Plains, N.J., accused of possessing marijuana and drug paraphernalia.","Diversion program, probation. NFL suspended one game.",1
1/9/2015,New York Jets,Chris Johnson,RB,Arrested,Gun,"Pulled over in Orlando, accused of misdemeanor gun offense after two guns were found in his vehicle.",Case dropped by prosecutors.,1
1/7/2015,Chicago,Tim Jennings,CB,Arrested,DUI,"Pulled over for allegedly driving 99 mph in 65-mph zone in Gwinnett County, Ga. Accused of drunken and reckless driving.","Pleaded guilty to reckless driving, one year of probation, 40 hours community service, $1,050 in fines.",1
12/29/2014,New York Jets,Jermaine Cunningham,LB,Arrested,"Gun, privacy invasion","Accused of spreading sexual images, criminal mischief and illegally transporting a gun found in his Audi in Union County, N.J.","Pleaded guilty to invasion of privacy and gun charge, three years of probation, counseling.",1
11/16/2014,Jacksonville,Dwayne Gratz,CB,Arrested,Trespassing,Accused of disorderly intoxication and trespassing after trying to buy items at a store in Miami with bubble gum instead of money.,Resolution undetermined.,1
10/24/2014,Tennessee,Shonn Greene,RB,Arrested,Handicap parking,"Accused of leaving the scene, reckless driving and driving with a suspended license in Franklin, Tenn., after being caught parking in handicap spot.","Pleaded guilty to parking charge and failing to exercise due care, charged $655.",1
10/22/2014,Denver,John Boyett,S,Arrested,Assault,"Accused of being drunk, head-butting and hitting a cab driver and trying to hide from police by stealing a shovel and covering himself in mulch in Greenwood Village, Colo..",Resolution undetermined. Team cut him the next day.,1
10/13/2014,Dallas,Joseph Randle,RB,Arrested,Theft,"Accused of shoplifting at store in Frisco, Texas, after allegedly being caught in the act on video.","Pleaded guilty to misdemeanor, probation, $706 in costs. Charge could be dismissed if he stays out of trouble.",1
10/4/2014,Miami,Derrick Shelby,DE,Arrested,Trespassing,Police report in Fort Lauderdale says he was touching females at club without permission and refused to leave when asked.,Resolution undetermined. Team suspended him.,1
9/29/2014,Indianapolis,Da'Rick Rogers,WR,Arrested,DUI,"Pulled over for swerving in Indianapolis, suspected of drunken driving.",Resolution undetermined. Team cut him later that day.,1
9/17/2014,Arizona,Jonathan Dwyer,RB,Arrested,Domestic violence,Suspected of aggravated assault in incident involving woman in Phoenix.,"Pleaded guilty to disorderly conduct, 18 months probation, community service.",1
9/4/2014,New York Jets,Quincy Enunwa,WR,Arrested,Domestic violence,"Charged with simple assault after alleged incident with woman at hotel in Florham Park, N.J.",Dropped after alleged victim said she didn't want to pursue the case.,1
8/30/2014,San Francisco,Ray McDonald,DE,Arrested,Domestic violence,"Suspected of domestic violence against pregnant fiance in Santa Clara County, Calif. She showed police bruising on her body.",Dropped by prosecutors.,1
8/20/2014,Pittsburgh,Le'Veon Bell,RB,Arrested,Drugs,Pulled over and suspected of marijuana possession with teammate LeGarrette Blount in passenger seat.,"Diversion program, 15 months probation, suspended license for 60 days.",1
8/20/2014,Pittsburgh,LeGarrette Blount,RB,Detained,Drugs,"Was riding in passenger seat when police pulled over car driven by teammate Le'Veon Bell. Suspected of possessing bag with about 20 ounces of marijuana in Ross Township, Penn.","Diversion program, 50 hours of community service in exchange for dismissal of charge.",1
8/11/2014,Washington,Bashaud Breeland,CB,Cited,Drugs,Cited for marijuana possession at gas station by police of Virginia Commonwealth University.,Resolution undetermined.,1
7/23/2014,Jacksonville,Justin Blackmon,WR,Arrested,Drugs,"Pulled over for traffic violation in Oklahoma, accused of marijuana possession.",Pleaded no contest to misdemeanor marijuana possession after entering voluntary rehabilitation program.,1
7/18/2014,Philadelphia,Keelan Johnson,S,Arrested,Assault,"Accused of striking police officer, disordery conduct during disturbance at a bar in Tempe, Ariz.",Pleaded guilty to aggravated assault.,1
7/12/2014,Baltimore,Jimmy Smith,CB,Arrested,Disorderly conduct,Accused of refusing to obey police orders during incident at a bar in Baltimore County. Smith said he was trying to help an intoxicated woman.,Case dropped.,1
6/29/2014,Arizona,John Abraham,LB,Arrested,DUI,Accused of drunken driving after an officer found him passed out behind the wheel of his car outside Atlanta.,Resolution undetermined.,1
6/25/2014,Cincinnati,Sam Montgomery,DE,Arrested,Speeding,Spent night in jail in South Carolina after being clocked at 89 mph in 55-mph zone.,Case dropped. State trooper fired.,1
6/24/2014,Indianapolis,Andrew Jackson,LB,Charged,DUI,"Accused of drunk driving and speeding in Muncie, Ind.",Diversion program with 40 hours of community service and treatment program.,1
6/20/2014,Chicago,Cornelius Washington,DE,Arrested,License,"Pulled over for speeding, accused of driving with a suspended license in Glascock County, Ga.",Paid fines.,1
6/9/2014,Kansas City,Sean Smith,CB,Arrested,DUI,Accused of drunken driving after a police officer said he saw Smith drive his car into a pole in Kansas City.,"Pleaded guilty to DUI charge and failure to show proof of insurance, two years of probation, $895 fine.",1
5/24/2014,Baltimore,Lorenzo Taliaferro,RB,Arrested,Public intoxication,"Accused of destroying a taxi cab window in Williamsburg, Va., being drunk in public.","Diversion program. Charges to be dropped if he pays for damages, has clean record.",1
5/22/2014,Denver,T.J. Ward,S,Warrant,Assault,Accused of throwing a glass at a female bartender at strip club in Denver.,"Diversion program, four hours community service.",1
5/13/2014,Carolina,Greg Hardy,DE,Arrested,Domestic violence,Police responded to call and reported that a woman accused Hardy of assaulting her and threatening her in Charlotte.,"Case dismissed on appeal after being convicted by judge on assault charge, 18 months probation. Deactivated by team.",1
4/27/2014,Chicago,Josh Morgan,WR,Warrant,Assault,"Accused of simple assault, punching another man outside of a nightclub in Washington, D.C.",Diversion program. Charge to be dropped after doing 32 hours of community service.,1
4/16/2014,Jacksonville,Tandon Doss,WR,Arrested,Disorderly conduct,Accused of refusing to listen to police orders in Indianapolis after two men reported him to police and said Doss was following them in his car.,Dropped after prosecutors declined to file charges.,1
4/13/2014,San Francisco,Aldon Smith,LB,Arrested,Disorderly conduct,Accused of making a false bomb threat at Los Angeles airport after being selected for secondary screening.,Dropped by prosecutors.,1
3/31/2014,Cincinnati,Orson Charles,FB,Arrested,Gun,"Accused of brandishing gun in car in apparent road rage incident in Madison County, Ky.",Resolution undetermined.,1
3/28/2014,San Francisco,Chris Culliver,CB,Arrested,"Reckless driving, weapon","Accused of hitting a bicyclist with his vehicle, felony hit-and-run and possession of brass knuckles in San Jose. He allegedly threatened witness with brass knuckles.","Pleaded guilty to two misdemeanors, 40 hours community service, restitution. NFL one-game suspension.",1
3/21/2014,Tennessee,Adewale Ojomo,DE,Arrested,Solicitation,"Accused of soliciting a prostitute in Miami for $100, busted by undercover cop.",Diversion program. Team cut him the next month.,1
3/9/2014,Baltimore,Jah Reid,OL,Arrested,Battery,"Acccused of getting into a fight at an adult entertainment establishment in Key West, Fla.",Diversion program.,1
3/7/2014,Oakland,Kory Sheets,RB,Arrested,Drugs,"Pulled over for speeding in Canada, accused of marijuana possession.","Pleaded guilty, then charge dropped after he made $300 donation to Students Against Drunk Driving.",1
2/21/2014,Baltimore,Deonte Thompson,WR,Arrested,Drugs,"Accused of marijuana possession in Gainesville, Fla., after Chevrolet SUV he was riding in was pulled over for driving without its headlights on.",Charges dropped.,1
2/20/2014,Washington,Fred Davis,TE,Arrested,DUI,"Accused of drunk driving in Tysons Corner, Va., after passerby called police to report a man apparently asleep in his Rolls-Royce.",Charge dropped.,1
2/15/2014,Baltimore,Ray Rice,RB,Arrested,Domestic violence,"Accused of striking his wife at Atlantic City casino, rendering her unconscious. She also is accused of hitting him.","Diversion program. Two-game suspension, then indefinite suspension, cut by team.",1
1/26/2014,San Francisco,Daniel Kilgore,OG,Arrested,Public intoxication,"Accused of being drunk in public in Kingsport, Tenn.",Charge dropped.,1
1/14/2014,Tampa Bay,Akeem Spence,DT,Arrested,Drugs,"Pulled over for speeding in Alabama, accused of marijuana possession after police dog searched car.","Diversion program, probation.",1
1/12/2014,Seattle,Spencer Ware,RB,Arrested,DUI,"Pulled over by Washington State Patrol, suspected of drunken driving in Seattle.",Charge dropped after judge ruled the arresting officer lacked reasonable suspicion in traffic stop.,1
1/9/2014,Tampa Bay,Michael Hill,RB,Arrested,Resisting Arrest,"Accused of refusing to obey a lawful officer, disorderly conduct stemming from fight at bar in St. Joseph, Mo.",Resolution undetermined.,1
12/30/2013,New York Jets,Kellen Winslow Jr.,TE,Charged,Drugs,"Accused of possession of synthetic marijuana after police responded to a complaint of him in a parked car outside a Target store in East Hanover, N.J. on Nov. 19.",Diversion program.,1
12/29/2013,San Diego,Thomas Keiser,LB,Arrested,Assault,Accused of getting into a fight with another man outside a bar in downtown San Diego after Chargers' game.,"Pleaded guilty to misdemeanor battery, required to take anger management classses.",1
12/22/2013,Chicago,Henry Melton,DT,Arrested,"Assault, alcohol","Accused of public intoxication and attacking a man at a bar in Grapevine, Texas.",Charge dropped at bar owner's request.,1
12/20/2013,New York Giants,Will Hill,S,Arrested,Child support,"Arrested in Hudson County, N.J., on warrant related to lack of child-support payments.","Paid the amount owed: $9,184.92",1
11/10/2013,Kansas City,Dwayne Bowe,WR,Arrested,Drugs,"Pulled over for going 48 mph in a 35-mph zone in suburban Kansas City, accused of marijuana possession after police smelled odor and searched car.","Pleaded guilty to reduced charges of defective equipment and littering, $610 fine. NFL suspended one game.",1
11/1/2013,Arizona,Lequan Jefferson,TE,Arrested,DUI,"Police in Scottsdale, Ariz., stopped him after report of a collision. Blood-alcohol measured at .156.",Resolution undetermined. Released by team within days.,1
10/9/2013,San Francisco,Aldon Smith,LB,Charged,Gun,"Case stems from house party in June 2012, in which Smith was stabbed. Three felony counts of illegal possession of an assault weapon in Santa Clara County, Calif.","Pleaded no contest, three years of probation, 235 hours of community service for this and DUI case.",1
9/23/2013,Cincinnati,Adam Jones,CB,Arrested,Disorderly conduct,He was the passenger in a car pulled over for speeding and was cited for disorderly conduct in Cincinnati. The driver was charged with drunk driving.,Paid $130 for fine and court costs.,1
9/20/2013,San Francisco,Aldon Smith,LB,Arrested,"DUI, drugs","Accused of drunk driving and marijuana possession after crashing his pickup truck in San Jose, Calif.","Pleaded no contest, three years of probation, 235 hours of community service for this and other guns case.",1
9/5/2013,Denver,Von Miller,LB,Cited,License,"Pulled over for speeding in Arapahoe County, Colo., accused of driving with a suspended license. Second traffic issue in six weeks.","Pleaded guilty to traffic offenses, required to take driving class and do 24 hours of community service.",1
9/2/2013,Indianapolis,John Boyett,S,Arrested,Public intoxication,"Accused of getting into an altercation with police, public intoxication and not departing a bar in Indianapolis when asked.",Resolution undetermined. Team cut him the next day.,1
8/28/2013,Denver,Julius Thomas,TE,Arrested,Failure to appear,"Pulled over for speeding, charged with failing to appear in court in Arapahoe County, Colo., for previous traffic ticket from Jan. 25, 2013.","Pleaded guilty to having a defective vehicle, adding two points to license.",1
8/11/2013,Denver,Von Miller,LB,Arrested,Outstanding warrant,"Arrested near Denver on warrant for failure to appear in court on previous traffic charges, including careless driving and driving without a license.",Resolution undetermined.,1
7/30/2013,New York Jets,Joe McKnight,RB,Arrested,Outstanding warrant,"Pulled over for speeding in Morris County, N.J., he was accused of having outstanding warrants for previous unpaid traffic fines.",Resolution undetermined.,1
7/12/2013,Tampa Bay,Eric Wright,CB,Arrested,DUI,Arrested in Los Angeles on suspicion of drunken driving.,"Pleaded no contest to reckless driving, six months of drug treatment. Traded to San Francisco a week later.",1
7/11/2013,New England,Alfonzo Dennard,CB,Arrested,DUI,"Pulled over around 2 a.m. in Lincoln, Neb., arrested on suspicion of drunken driving.","Pleaded no contest to refusing test, DUI charge dropped, probation, $500 fine.",1
7/6/2013,New York Giants,Dan Connor,LB,Arrested,Weapon,Accused of having a switchblade in his luggage at Philadelphia airport. Charged with possession of offensive weapon.,Diversion program. Charge dropped if he keeps clean record.,1
6/29/2013,Indianapolis,Joe Lefeged,S,Arrested,Gun,"Accused of fleeing police and multiple gun charges in Washington, D.C., including carrying unlicensed gun.",Resolution undetermined.,1
6/26/2013,New England,Aaron Hernandez,TE,Arrested,"Murder, gun","Charged with first-degree murder in death of friend Odin Lloyd, five gun charges in North Attleborough, Mass.","Convicted by jury of first-degree murder, life in prison. Released by team same week of arrest.",1
6/12/2013,Philadelphia,Jason Peters,OT,Arrested,Resisting arrest,"Accused of drag racing and resisting arrest in Monroe, La.","Pleaded guilty to lesser charges, including resisting officer by flight. Fined $656.50.",1
6/11/2013,Baltimore,Damien Berry,RB,Arrested,Failure to appear,Accused in Baltimore County of not appearing in court for charge of driving with a suspended license in January.,Dropped.,1
6/10/2013,Cincinnati,Adam Jones,CB,Arrested,Assault,Accused of punching a woman outside a Cincinnati bar on June 5. It is his eighth run-in with the law since 2005.,Resolution undetermined.,1
5/31/2013,Chicago,Evan Rodriguez,FB,Arrested,DUI,Arrested for drunken driving in Chicago after getting pulled over at 3:30 a.m.,Resolution undetermined. Released by team month after arrest.,1
5/30/2013,Tampa Bay,Cody Grimm,S,Arrested,Public intoxication,"Arrested in Leesburg, Va., where he was attending a wedding. Second arrest on same charge since March.",Resolution undetermined.,1
5/19/2013,Denver,Quentin Saulsberry,C,Arrested,DUI,"Pulled over after 2 a.m., accused of drunken driving and lane violation in Arapahoe County, Colo.",Resolution undetermined.,1
5/17/2013,New York Jets,Mike Goodson,RB,Arrested,"Drugs, gun","Accused of marijuana possession and having an illegal gun with hollow-point bullets in Denville, N.J..",Resolution undetermined.,1
5/5/2013,Seattle,Josh Portis,QB,Arrested,DUI,"Pulled over for speeding by Washington State trooper, accused of drunken driving.",Resolution undetermined. Cut by team later that month.,1
5/3/2013,Arizona,Daryl Washington,LB,Arrested,Domestic violence,"Accused of assaulting ex-girlfriend in Phoenix, grabbing her by throat and shoving her to the ground.","Pleaded guilty to aggravated assault, one year of supervised probation.",1
4/29/2013,New York Jets,Claude Davis,DE,Arrested,Drugs,"Charged with marijuana possession after police saw occupied vehicle filled with smoke in Morristown, N.J.",Resolution undetermined. Released by team day after arrest.,1
4/29/2013,New York Jets,Cliff Harris,CB,Arrested,Drugs,"Charged with marijuana possession after police saw occupied vehicle filled with smoke in Morristown, N.J.",Resolution undetermined. Released by team.,1
4/21/2013,Baltimore,Rolando McClain,LB,Arrested,Disorderly conduct,"Accused of resisting arrest at park in Decatur, Ala., after police responded to report of disturbance",Convicted of two misdemeanors. Sentenced to 18 days in jail.,1
3/21/2013,Chicago,Evan Rodriguez,FB,Arrested,Resisting arrest,Accused of disorderly intoxication and resisting arrest after traffic stop in Miami Beach.,Charges dropped.,1
3/17/2013,Oakland,Kaluka Maiava,LB,Arrested,Assault,"Accused of beating two men at a bar in Maui, Hawaii along with his brother.","Pleaded no contest, 15 days in jail.",1
3/10/2013,Tampa Bay,Cody Grimm,S,Arrested,Public intoxication,"Accused of public intoxication in Christianburg, Va.",Deferred disposition.,1
3/9/2013,Denver,Quinton Carter,S,Arrested,Fraud,Accused of felony cheating at craps in North Las Vegas casino. He allegedly placed $5 chips on table after dice rolled.,Charges dropped.,1
3/7/2013,Arizona,Javarris James,RB,Arrested,Failure to appear,"Accused in Lee County, Fla., of failing to appear in court to face previous marijuana possession charge.",Resolution undetermined.,1
2/24/2013,Oakland,Desmond Bryant,DT,Arrested,Criminal mischief,Accused of misdemeanor mischief in Miami. Related lawsuit says he tried to break down door of house.,"Diversion program, six months of probation.",1
2/24/2013,Chicago,J'Marcus Webb,OT,Arrested,Drugs,"Charged with possession of a controlled substance, marijuana and paraphernalia in Pulaski County, Ill.",Charges dropped.,1
2/23/2013,Tennessee,Brandon Barden,TE,Arrested,DUI,"Charged with drunken driving after single-car accident in Lincolnton, Ga. Car left road and flipped.",Charge dropped.,1
2/20/2013,San Francisco,Al Netter,OG,Arrested,DUI,"Charged with drunken driving in San Jose, Calif.",Resolution undetermined.,1
2/18/2013,Tampa Bay,Da'Quan Bowers,DE,Arrested,Gun,Arrested at LaGuardia airport after allegedly packing gun into his carry-on bag.,"Pleaded guilty to reduced charge of disorderly conduct, fined $370.",1
2/4/2013,Indianapolis,Moise Fokou,LB,Arrested,DUI,Charged with drunk driving for arrest in January in Washington D.C.,Resolution undetermined.,1
1/29/2013,Seattle,Leroy Hill,LB,Arrested,Domestic violence,"Accused of third-degree assault and unlawful imprisonment in dispute with girlfriend in King County, Wash.",Charges dropped for lack of evidence. Not re-signed by Seattle.,1
1/22/2013,Dallas,Jay Ratliff,DT,Arrested,DUI,"Accused of drunken driving after crashing his Ford pickup truck into an 18-wheeler in Grapevine, Texas.","Pleaded guilty, one year probation.",1
1/17/2013,Cincinnati,Andre Smith,OT,Arrested,Gun,Accused of bringing loaded .38 pistol in carry-on bag at the Atlanta airport.,Resolution undetermined.,1
1/10/2013,Pittsburgh,Chris Rainey,RB,Arrested,Domestic violence,"Accused of slapping girlfriend in face in dispute over cell phone in Gainesville, Fla.","Pleaded no contest to disorderly conduct, $500 in fines and costs. Released by team hours later.",1
1/8/2013,Oakland,Rolando McClain,LB,Arrested,False name,"Pulled over for window-tint violation in Alabama, accused of giving false name to police.",Pleaded guilty to window-tint charge. Other charge dropped.,1
1/4/2013,Cincinnati,Robert Sands,S,Arrested,Domestic violence,"Accused of assaulting his wife at their home in Florence, Ky. Wife treated at hospital for minor injuries.",Released by team in June.,1
12/8/2012,Dallas,Josh Brent,DT,Arrested,DUI,"Charged with intoxication manslaughter after flipping his car, killing teammate Jerry Brown in Irving, Texas. Police report blood-alcohol content at .189.","Convicted. Sentenced to 180 days in jail, 10 years probation.",1
12/1/2012,Kansas City,Jovan Belcher,LB,Died,"Murder, gun","Fatally shot his girlfriend 10 times in Kansas City, then drove to team facility and fatally shot himself in head.",Suspect dead.,1
11/30/2012,San Francisco,Demarcus Dobbs,TE,Arrested,DUI,"Suspected of drunk driving and marijuana possession at 3:45 a.m. after crashing car on 25th birthday in Santa Clara, Calif.",Resolution undetermined.,1
11/26/2012,Miami,Jonathan Amaya,S,Arrested,Battery,Accused of choking cab driver outside club in Miami Beach at 4:30 a.m.,Resolution undetermined.,1
10/31/2012,New York Jets,Bryan Thomas,LB,Arrested,Domestic violence,"Charged with assault on wife at their home in Randolph, N.J. He allegedly punched her in stomach.","Probation, pretrial intervention program.",1
10/30/2012,Tampa Bay,Ahmad Black,CB,Cited,Drugs,"Accused of having less than 20 grams of marijuana after being pulled over at 1:56 a.m. in Tampa, Fla.",Resolution undetermined.,1
10/14/2012,Pittsburgh,Alameda Ta'amu,DT,Arrested,DUI,"Accused of resisting arrest, eluding police and drunk driving after hitting several parked cars",Resolution undetermined.,1
9/7/2012,Dallas,Ronald Leary,OG,Arrested,DUI,"Pulled over near Dallas, suspected of driving drunk after failing sobriety test.","Pleaded guilty, 18 months probation, $1,000 fine.",1
8/25/2012,Seattle,John Moffitt,OG,Arrested,Disorderly conduct,"Banned from mall in Bellevue, Wash., in January 2012, he later was accused of trespassing there, obstrucing police and public urination.","Pleaded no contest to disorderly conduct, $1,407 fine, two-year suspended jail sentence.",1
8/11/2012,Miami,Chad Johnson,WR,Arrested,Domestic violence,"Accused in Davie, Fla., of head-butting the wife he married a month earlier.","Pleaded no contest to misdemeanor domestic violence, probation. Cut by team.",1
7/20/2012,Tennessee,Kenny Britt,WR,Arrested,DUI,Charged with drunken driving after trying to pass through security gate at Fort Campbell Army post in Kentucky.,"Found not guilty of DUI, guilty of refusing Breathalyzer test.",1
7/19/2012,Kansas City,Donald Washington,CB,Arrested,"DUI, drugs","Stopped for speeding by Illinois state police, who detected an odor of marijuana. Charged with DUI drugs.",Resolution undetermined.,1
7/16/2012,Dallas,Dez Bryant,WR,Arrested,Domestic violence,"Turned himself in after being accused by his mother of hitting her in DeSoto, Texas.","Diversion program, anger management counseling.",1
7/14/2012,Denver,Elvis Dumervil,DE,Arrested,"Assault, gun",Accused of aggravated assault with a firearm in Miami after allegedly lifting his shirt to show a gun to a motorist.,Charge dropped.,1
7/14/2012,Seattle,Marshawn Lynch,RB,Arrested,DUI,"Pulled over in Oakland, Calif., and taken to Santa Rita Jail on DUI charge.",Resolution undetermined.,1
7/13/2012,Jacksonville,Odrick Ray,DE,Arrested,Traffic warrants,"Pulled over in Tulsa, Okla., for speeding and arrested for having outstanding traffic warrrants.",Resolution undetermined.,1
7/8/2012,Philadelphia,Dion Lewis,RB,Arrested,Reckless endangerment,"Charged with falsely reporting a fire and reckless endangerment. Police said he and his brother tried to knock down door at hotel near Albany, N.Y.",Charges dismissed.,1
7/2/2012,Tampa Bay,Eric Wright,CB,Arrested,DUI,Charged with felony drunk driving in Los Angeles after being involved in an accident that caused an injury.,District attorney declined to prosecute.,1
6/30/2012,Baltimore,Albert McClellan,LB,Arrested,Domestic violence,"Former girlfriend accused him of throwing lamp at her and grabbing her in Lakeland, Fla. No visible signs of injury.",Dropped after woman declined to prosecute.,1
6/10/2012,New York Giants,David Diehl,OT,Arrested,DUI,"Arrested on DUI charge in Queens, N.Y. after hitting parked cars. Blood-alcohol content of .18.","Pleaded guilty to aggravated DUI, license restrictions, $1,200 in restitution.",1
6/3/2012,Jacksonville,Justin Blackmon,WR,Arrested,DUI,"Arrested in Stillwater, Okla., on DUI charge after traffic stop. Blood-alcohol three times the limit.","Pleaded guilty, $500 fine, deferred sentence of one year.",1
4/26/2012,Washington,Brandon Meriweather,S,Arrested,DUI,"Pulled over for speeding, charged with drunken driving after failing sobriety test in Arlington County, Va.","Pleaded no contest, $300 fine, 180-day suspended jail sentence.",1
4/7/2012,Oakland,Darrius Heyward-Bey,WR,Arrested,DUI,"Pulled over on Bay Bridge in California, charged with DUI.","Pleaded no contest, three years' probation, DUI classes.",1
3/30/2012,Miami,Koa Misi,LB,Arrested,Battery,"Arrested in Weston, Fla., on warrant. Accused of punching a man in the eye in California in 2011.","Pleaded no contest to misdemeanor, three years'' probation.",1
2/26/2012,Seattle,Jarriel King,OT,Arrested,Sex,Charged with having forcible sex with woman in South Carolina who said she was intoxicated.,Resolution undetermined. Released by team after it learned of the arrest.,1
2/25/2012,Seattle,Leroy Hill,LB,Arrested,Drugs,Accused of marijuana possession in Atlanta and report of strong odor coming from apartment.,Charge dropped.,1
2/23/2012,Jacksonville,Nate Collins,DT,Arrested,Drugs,"Accused of marijuana possession after traffic stop in Warrenton, Va. Police pulled him over because of his tinted windows.",Resolution undetermined.,1
2/13/2012,Chicago,J.T. Thomas,LB,Arrested,Drugs,"Pulled over for going wrong way on one-way street in Morgantown, W.V. Police say they found marijuana.",Resolution undetermined.,1
2/8/2012,San Francisco,Ray McDonald,DE,Arrested,Outstanding warrant,"Pulled over in Sunnyvale, Calif., arrested on outstanding warrant from drunken driving case in 2010.",Resolution undetermined.,1
2/5/2012,Cincinnati,Rey Maualuga,LB,Arrested,Assault,Charged with misdemeanor assault after bar employee in Cincinnati said Maualuga hit him in the face.,Charged dropped after private mediation.,1
2/1/2012,Denver,Knowshon Moreno,RB,Arrested,DUI,"Charged with drunken driving after being pulled over for speeding in Denver. License plate reportedly was ""SAUCED.""","Pleaded guilty to driving while impaired, 30-day suspended jail sentence, 24 hours community service.",1
1/27/2012,San Francisco,Aldon Smith,LB,Arrested,DUI,Accused of drunken driving in Miami Beach.,Diversion program. Charge reduced to reckless driving.,1
1/19/2012,Cincinnati,Jerome Simpson,WR,Indicted,Drugs,"Accused in Kenton County, Ky., of marijuana trafficking after 2.5 pounds of it were delivered to his home the previous September.","Pleaded guilty to felony, 15 days in jail, three years of probation.",1
12/14/2011,Chicago,Sam Hurd,WR,Arrested,Drugs,Accused in Chicago of accepting a kilogram of cocaine from undercover officer and trying to set up drug distribution network.,"Pleaded guilty to conspiracy to possess drugs with intent to distribute, 15-year sentence.",1
11/30/2011,Oakland,Rolando McClain,LB,Arrested,"Assault, gun","Accused of discharging a gun within city limits of Decatur, Ala., and putting a gun next to a man's head in fight.",Dropped after he appealed conviction and reached settlement.,1
11/25/2011,Green Bay,Erik Walden,LB,Arrested,Domestic violence,"Jailed after complaint of felony assault against live-in girlfriend in Brown County, Wisc.","Diversion program, counseling, 50 hours community service. NFL suspended him one game.",1
11/2/2011,Carolina,Lawrence Wilson,LB,Arrested,Drugs,"Pulled over for speeding in Salisbury, N.C., accused of having 11 grams of marijuana.",Resolution undetermined.,1
11/1/2011,New England,Julian Edelman,WR,Arrested,Assault,Accused of touching a woman inappropriately at a nightclub on Halloween night in Boston.,Charges dropped.,1
10/14/2011,Denver,Ryan McBean,DT,Arrested,Stalking,"Accused of felony stalking in Denver, ordered to cease contact with victim.",Dropped by prosecutors.,1
10/1/2011,Green Bay,Johnny Jolly,DE,Arrested,Drugs,"Pulled over in Houston, accused of possessing narcotic containing codeine and tampering with evidence to conceal it.",Sentenced to six years in prison.,1
9/2/2011,Dallas,Kevin Ogletree,WR,Arrested,Outstanding warrant,"Pulled over for speeding in Coppell, Texas. Police found two previous traffic violations unresolved.","Paid $597 bond, car towed.",1
8/2/2011,Denver,Matt Prater,K,Arrested,DUI,"Accused of drunk driving after allegedly backing his Chevy Trailblazer into parked car and fleeing the scene in Greenwood Village, Colo.","Pleaded no contest, 50 hours of community service, one year probation.",1
7/17/2011,Cincinnati,Cedric Benson,RB,Arrested,Assault,"Accused of misdemeanor assault after incident with former male roommate in Travis County, Texas.",Resolution undetermined.,1
7/17/2011,Indianapolis,Jerry Hughes,DE,Arrested,Public intoxication,Taken into custody around 2:30 a.m. at nightclub in Dallas with TCU teammates.,Resolution undetermined.,1
7/14/2011,Cincinnati,Marvin White,S,Arrested,Assault,"Accused of disturbing the peace and being verbally abusive at his child's day care center in Opelousas, La.",Resolution undetermined.,1
7/10/2011,Cincinnati,Adam Jones,CB,Arrested,Alcohol,Accused of disorderly conduct while intoxicated and resisting arrest at bar in Cincinnati.,Resolution undetermined.,1
7/9/2011,Pittsburgh,Hines Ward,WR,Arrested,DUI,Accused of drunk driving in Atlanta after being pulled over about 2:30 a.m.,"Pleaded guilty to reckless driving in plea deal. One year probation, $2,000 fine.",1
6/29/2011,Tennessee,Kenny Britt,WR,Surrendered,Outstanding warrant,Turned himself in in Nashville on two outstanding warrants that say he provided inaccurate information on driver's license applications.,Resolution undetermined.,1
6/19/2011,Philadelphia,Akeem Jordan,LB,Arrested,Assault,"Accused of assault and battery after incident at bar in Harrisonburg, Va.",Resolution undetermined.,1
6/16/2011,Seattle,Raheem Brock,DE,Arrested,Theft,Accused of walking out on $27 restaurant tab in Philadelphia. He said they canceled order before food arrived.,Acquitted.,1
6/16/2011,Green Bay,Brandon Underwood,CB,Arrested,Domestic violence,"Accused of pushing wife to the ground and ripping necklace from her neck in Green Bay, Wisc.","Pleaded no contest to disorderly conduct, $767.50 in fines. NFl suspended two games. Released in September.",1
6/9/2011,Indianapolis,Javarris James,RB,Arrested,Drugs,"Accused of misdemeanor marijuana possession in Fort Myers, Fla., after traffic stop for window-tint violation.",Resolution undetermined.,1
6/8/2011,Tennessee,Kenny Britt,WR,Arrested,Drugs,"Accused of resisting arrest in Hoboken, N.J., after police suspected him of trying to hide a marijuana cigar.",Resolution undetermined.,1
